"Time";"Displacement"
"2020-12-03T18:01";21
"2020-12-03T18:06";24
"2020-12-03T18:12";26
"2020-12-03T18:22";24
"2020-12-03T18:27";16
"2020-12-03T18:32";23
"2020-12-03T18:37";21
"2020-12-03T18:42";24
"2020-12-03T18:47";24
"2020-12-03T18:53";32
"2020-12-03T18:58";32
"2020-12-03T19:03";25
"2020-12-03T19:08";27
"2020-12-03T19:13";20
"2020-12-03T19:18";27
"2020-12-03T19:23";18
"2020-12-03T19:28";23
"2020-12-03T19:34";8
"2020-12-03T19:39";7
"2020-12-03T19:44";5
"2020-12-03T19:49";4
"2020-12-03T19:54";4
"2020-12-03T19:59";4
"2020-12-03T20:04";4
"2020-12-03T20:09";4
"2020-12-03T20:14";5
"2020-12-03T20:20";6
"2020-12-03T20:25";4
"2020-12-03T20:30";5
"2020-12-03T20:35";5
"2020-12-03T20:40";4
"2020-12-03T20:45";3
"2020-12-03T20:50";3
"2020-12-03T20:55";3
"2020-12-03T21:01";3
"2020-12-03T21:06";3
"2020-12-03T21:11";4
"2020-12-03T21:16";4
"2020-12-03T21:21";5
"2020-12-03T21:26";3
"2020-12-03T21:31";3
"2020-12-03T21:36";4
"2020-12-03T21:41";3
"2020-12-03T21:47";5
"2020-12-03T21:52";4
"2020-12-03T21:57";4
"2020-12-03T22:02";3
"2020-12-03T22:07";3
"2020-12-03T22:12";3
"2020-12-03T22:17";6
"2020-12-03T22:22";7
"2020-12-03T22:28";3
"2020-12-03T22:33";4
"2020-12-03T22:38";4
"2020-12-03T22:43";5
"2020-12-03T22:48";4
"2020-12-03T22:53";5
"2020-12-03T22:58";3
"2020-12-03T23:04";5
"2020-12-03T23:09";4
"2020-12-03T23:14";5
"2020-12-03T23:19";3
"2020-12-03T23:24";3
"2020-12-03T23:29";5
"2020-12-03T23:34";7
"2020-12-03T23:45";4
"2020-12-03T23:50";4
"2020-12-03T23:55";4
"2020-12-04T00:00";4
"2020-12-04T00:05";4
"2020-12-04T00:10";4
"2020-12-04T00:15";4
"2020-12-04T00:20";7
"2020-12-04T00:26";4
"2020-12-04T00:31";4
"2020-12-04T00:36";5
"2020-12-04T00:41";4
"2020-12-04T00:46";5
"2020-12-04T00:51";4
"2020-12-04T00:56";5
"2020-12-04T01:07";5
"2020-12-04T01:12";3
"2020-12-04T01:17";5
"2020-12-04T01:22";4
"2020-12-04T01:27";4
"2020-12-04T01:37";4
"2020-12-04T01:42";4
"2020-12-04T01:48";4
"2020-12-04T01:53";4
"2020-12-04T01:58";4
"2020-12-04T02:03";5
"2020-12-04T02:08";5
"2020-12-04T02:13";4
"2020-12-04T02:18";4
"2020-12-04T02:23";4
"2020-12-04T02:28";4
"2020-12-04T02:34";5
"2020-12-04T02:39";4
"2020-12-04T02:44";5
"2020-12-04T02:49";4
"2020-12-04T02:54";4
"2020-12-04T02:59";4
"2020-12-04T03:04";3
"2020-12-04T03:09";4
"2020-12-04T03:15";4
"2020-12-04T03:20";4
"2020-12-04T03:25";4
"2020-12-04T03:30";4
"2020-12-04T03:35";4
"2020-12-04T03:40";5
"2020-12-04T03:45";4
"2020-12-04T03:51";4
"2020-12-04T03:56";4
"2020-12-04T04:01";4
"2020-12-04T04:06";4
"2020-12-04T04:11";5
"2020-12-04T04:21";3
"2020-12-04T04:26";5
"2020-12-04T04:32";5
"2020-12-04T04:37";4
"2020-12-04T04:42";4
"2020-12-04T04:47";4
"2020-12-04T04:52";4
"2020-12-04T04:57";4
"2020-12-04T05:02";4
"2020-12-04T05:07";4
"2020-12-04T05:12";4
"2020-12-04T05:18";5
"2020-12-04T05:23";4
"2020-12-04T05:28";3
"2020-12-04T05:33";4
"2020-12-04T05:38";4
"2020-12-04T05:43";5
"2020-12-04T05:48";4
"2020-12-04T05:53";4
"2020-12-04T05:59";5
